userId,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,4.32,4.46,4.83,5.0,4.25,4.33,2.52,4.59,2.52,2.52,3.57,2.52,5.0,2.52,2.52,5.0,2.52,2.52
2,3.95,1.3,1.3,1.3,4.2,3.38,5.0,3.92,1.3,1.3,1.3,1.3,1.3,1.3,3.0,1.3,1.3,1.3
3,3.57,1.9,0.5,0.5,1.4,1.3,1.3,1.0,5.0,1.3,4.5,1.3,1.3,1.3,5.0,1.3,1.3,1.3
4,3.32,3.47,4.25,4.0,3.51,4.19,4.0,3.57,2.0,5.0,2.65,2.65,3.33,2.65,2.65,3.0,2.65,4.0
5,3.11,3.8,5.0,3.67,3.56,4.2,1.7,3.33,1.7,1.7,1.7,1.7,1.7,1.7,1.7,4.0,1.7,1.7
6,3.61,3.92,4.0,3.44,3.34,3.5,2.52,3.41,3.0,2.52,3.0,2.52,4.33,2.52,3.0,3.5,2.52,3.33
7,3.26,3.72,3.0,1.5,2.98,3.54,1.41,3.06,1.41,1.41,2.75,1.41,1.41,1.41,1.5,1.41,1.41,1.41
8,3.33,3.83,1.66,4.0,3.29,4.67,1.66,4.25,1.66,1.66,1.66,1.66,3.5,1.66,1.66,3.0,1.66,1.66
9,3.12,3.86,1.22,1.22,3.55,3.4,1.22,3.2,1.22,1.22,1.75,3.0,1.22,1.22,1.22,1.22,1.22,1.22
10,3.5,3.43,4.0,0.5,3.27,2.5,1.32,3.15,3.0,1.32,1.32,1.32,1.32,1.32,0.5,1.32,1.32,1.32
11,3.54,4.0,1.42,1.42,4.25,4.33,1.42,4.5,1.42,1.42,1.42,1.42,1.42,1.42,1.42,5.0,1.42,1.42
12,4.0,3.0,0.89,0.89,4.38,0.89,0.89,4.58,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
13,4.2,3.0,1.25,1.25,3.12,1.25,1.25,3.25,1.25,1.25,4.0,1.25,5.0,1.25,1.25,1.25,1.25,1.25
14,3.33,3.5,1.75,3.0,2.83,3.5,1.75,3.77,1.75,1.75,1.75,1.75,4.5,1.75,1.75,3.0,1.75,4.0
15,3.2,3.52,2.67,1.0,3.38,4.43,2.39,3.95,2.39,2.39,4.0,2.39,2.83,4.5,4.5,5.0,2.39,2.39
16,3.52,3.94,3.88,2.6,3.62,3.73,4.0,3.8,5.0,4.0,4.0,2.6,3.88,2.6,2.6,3.5,2.6,2.6
17,4.23,4.31,4.0,2.06,4.21,4.25,2.06,4.1,2.06,2.06,4.0,2.06,4.0,2.06,2.06,2.06,2.06,4.0
18,3.59,3.68,3.78,2.88,3.58,4.1,3.94,3.98,4.0,4.25,3.5,2.94,4.08,2.94,3.75,3.88,2.94,2.94
19,2.73,2.87,3.11,2.51,2.55,2.83,2.18,2.43,2.25,3.5,2.12,2.18,3.29,5.0,2.0,2.07,2.18,2.18
20,2.76,3.72,4.34,3.98,3.65,2.93,3.5,3.65,2.2,2.2,3.25,4.25,3.5,2.2,2.2,2.2,2.2,2.2
21,3.46,3.67,2.78,2.36,3.04,2.92,1.73,2.64,1.73,1.73,0.83,1.73,3.5,1.5,3.5,1.0,1.73,1.73
22,2.78,2.32,2.5,1.09,2.16,2.77,2.38,2.9,1.09,1.09,1.09,1.09,1.75,1.09,1.09,1.09,1.09,1.09
23,3.54,3.56,4.17,2.34,3.44,3.75,3.25,3.63,4.0,4.5,4.5,2.34,3.88,2.34,2.34,2.34,2.34,2.34
24,3.64,3.6,1.46,1.46,3.59,4.38,1.46,3.54,1.46,1.46,1.46,1.46,4.0,1.46,1.46,3.5,1.46,1.46
25,4.83,4.8,1.31,1.31,1.31,5.0,1.31,4.88,1.31,1.31,1.31,1.31,1.31,1.31,4.0,1.31,1.31,1.31
26,3.0,3.0,1.54,3.0,3.33,4.0,1.54,3.33,1.54,1.54,1.54,1.54,4.0,1.54,1.54,4.0,1.54,1.54
27,3.64,3.44,3.7,2.93,3.43,2.01,2.01,4.07,2.01,4.0,2.01,5.0,2.01,2.01,2.0,2.01,2.01,4.0
28,3.06,3.06,3.0,2.47,2.93,2.92,4.0,3.03,3.25,2.47,2.8,2.47,3.4,2.47,2.5,3.0,4.0,3.5
29,4.02,4.09,2.18,5.0,4.0,4.27,4.25,4.25,2.18,2.18,2.18,2.18,4.33,2.18,2.18,2.18,2.18,5.0
30,4.72,4.8,4.0,1.58,1.58,5.0,1.58,5.0,1.58,1.58,1.58,1.58,1.58,1.58,5.0,1.58,1.58,1.58
